% Model,Cyl_Form_scales_v1.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 28 2025, 00:15"
% Table,Table 2 - orbital numbers
% scale,Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
0.58,21.879895854528066+2.506770008626518E-7i,1.4600701950171458E-5,0.24542352511718618,3.9911816933870965E-5,0.0013142373827070208,-1.334371210495952E-4,-9.168263943868812E-4,1.1801297347352608E-4
0.58,22.764665471233286+1.1267147726248337E-6i,0.11226908266634125,1.7405156176012056E-4,3.831233148378911E-4,3.1774225896551455E-5,1.8801401004751275E-4,-4.7722754547445604E-5,-6.198230064803527E-4
0.58,22.800787416082983+5.407562132474609E-7i,-9.022963368417945E-4,-7.714868359330786E-5,-0.19207502321586284,-8.382072952240857E-5,1.386816333599935E-4,-1.337636612221072E-4,-0.0011605952478784818
0.58,24.001661235633932+1.0971105812948124E-6i,8.890110456227196E-5,-0.09058193401974092,-6.378304921796358E-5,4.0800552374853626E-4,3.16268857463653E-5,0.002321822978631756,-1.3286374329449612E-4
0.58,24.052414090982932+2.7368937326012235E-7i,-4.1675317251162934E-4,-0.002432402223954136,-1.5675649994413004E-4,0.12273735891964221,9.885839820605565E-5,2.3153099039317215E-4,-4.106447718134109E-4
0.58,24.9174510294117+2.6236226583083454E-7i,0.0012750752618191825,0.0394007731979861,9.116620074734144E-4,0.0012410360722532104,0.0010253484846611714,7.048869589380627E-4,5.867658831857631E-4
0.58,25.591481795326246+1.0436279534257445E-6i,-2.8474307671085865E-4,9.817882346419265E-4,0.302769123416378,0.0010351236201784633,-0.004659874068275201,0.0010146879891989142,0.001197347803613983
0.58,25.648814915142967-4.945803738449745E-7i,-0.002154022949938762,4.2540499549731153E-4,-0.005094176846525206,-5.069627291546846E-4,0.06358025327576483,-0.0017027810146415777,9.146809839781753E-4
0.58,27.469966069701126+4.483099178861832E-6i,5.60443900258498E-4,4.5185706506118925E-4,0.0018446928817679763,-0.004758015198536421,-8.654737739552922E-4,0.0042857748439306086,6.05040063405999E-4
0.58,27.475694213437087+5.39476117934801E-6i,0.0013776949938386126,5.601219045508955E-4,-0.032834877083581376,5.401119670737977E-4,0.0020473376243066747,0.0013906578912657615,-9.991899142815872E-4
0.58,27.54326563851346+6.812374852666489E-7i,-0.017953981056501173,4.3286013604532396E-4,-0.007410077464148601,-0.05996576618478493,-8.617419345953289E-5,-0.0036637312495557514,-2.482503653162305E-4
0.58,27.601220587371074-1.8654350663069236E-6i,0.008226134672274031,-0.002921982280871885,0.004486530980200309,-0.0014505119928505301,8.494014443393671E-4,-0.3077135327837062,-0.0016225063323794162
0.6,21.927997330836995+8.541070646672559E-9i,-3.6438941287367184E-4,0.2383017643139355,-8.380153947413224E-5,-0.0012790018973553102,-3.94331748093437E-4,-0.0011161926825613855,-8.970268896129046E-4
0.6,22.86149762654559+1.3277784468790624E-6i,0.6879303818587749,3.2433632798341614E-4,6.72065864091436E-4,8.410284885738594E-5,-0.0024295727016504965,-0.0016024566717954835,0.0011096032378326438
0.6,22.899033367655075-2.2103151164061388E-6i,0.006036364623568785,8.958700633952941E-4,0.2011302850039124,3.0515358755337055E-4,0.0041218672823548136,-0.0012375072476914911,-0.0017604979589692998
0.6,24.171485986661533+1.6389997205881142E-6i,1.1234865947195297E-5,-0.35992798569694134,-4.057464026756434E-4,0.007034445872962134,0.0010408184953235387,-0.005215636873255461,0.0023456138794233595
0.6,24.21930611079069-4.225083706311713E-6i,3.5729739396125144E-4,-0.003452549865531494,-4.3669027323249945E-4,-0.13630657480952071,-0.0011196081994994304,4.881762266118568E-4,0.001760141797269826
0.6,25.156440217267107-4.731602156242854E-7i,0.0019230836276934303,-0.051797673656026756,-2.0394504434344715E-4,-0.007265346246502508,-0.0030323378208233828,-0.004902854031675857,-0.003101269345242918
0.6,25.86062880369094-4.867092831070019E-7i,0.001222172234445249,9.334587192093997E-4,0.1903286391534645,6.059097480666637E-4,0.002411875161304708,-4.617141848532917E-4,-0.0015189864059168285
0.6,25.907511643771922-3.534008234229463E-6i,-2.1687317275067807E-4,0.0014234544798512564,-0.0027556748684575924,0.0020136451047666347,-0.3296230817278925,-0.001268779893732473,6.254181028006596E-4
0.6,27.88183801534637-3.1256140300618928E-6i,0.02159217287479422,-5.558517662595514E-4,5.759663533787484E-4,-9.2604914680974E-5,-0.006009096955314051,-0.002873048089041889,-1.9573332149397697E-4
0.6,27.887687756375886-8.155058294423219E-7i,1.494188266205154E-4,-7.258754336416758E-4,-0.010365270353847468,0.007690864317414446,-0.0020257486057809956,-9.300668376511935E-5,0.002410628384382196
0.6,27.940097036408318-4.2443575029247116E-6i,-0.015681417975858092,0.00301618740447405,0.0228199753011804,0.3068271578086651,0.0028039646980696008,0.003979883334522372,-8.47543303473429E-4
0.6,27.97905568671831+1.8693284417723194E-7i,0.014792541324128045,-0.0070052992373732595,-2.927466402927659E-4,0.0023397681645667637,0.0010653715809385638,0.261273929966872,0.0024543684302523244
0.62,21.979268913108598+6.543903146509323E-9i,7.240146617478909E-5,0.24876009980392985,3.361243270698599E-4,-0.0011233312055772603,6.377292720510485E-4,9.716899784390775E-4,-8.014776962702554E-4
0.62,22.96166292649336+3.5382026869147423E-7i,0.4879617229300377,6.439836325086278E-5,-1.8312630552134917E-5,3.977849938821546E-4,-7.632859192049033E-4,1.0597046168153826E-4,-2.547203151625329E-4
0.62,23.003546482617928+2.6884964268552854E-7i,0.0036409637461908588,4.0890441170386043E-4,0.3343345019505566,2.830990480229688E-4,-0.0013224637048078155,2.2327238604101252E-4,3.062399834358754E-5
0.62,24.345283570315466+9.089610544576291E-7i,-4.4057457889966817E-4,-0.18432566621382665,-2.5936621862173066E-4,0.004909568759425061,-4.8704886627113394E-4,-0.0010308654713812573,0.0010453292971100703
0.62,24.398440084264422-8.054285432671711E-7i,3.9833843575983694E-4,-0.002460529883647624,-2.9142048000066793E-4,0.15987318853107768,8.640459211335195E-4,0.0010359026272283571,3.369607979251966E-4
0.62,25.401200794266188+1.2702452561714144E-7i,-0.0011306469131122671,0.03485061834851948,5.342542422714805E-4,0.006334848560806237,0.002819403718234896,0.0030166407287865516,3.340018315230113E-4
0.62,26.135700632240667-1.6052917624981134E-8i,-3.216882729005723E-4,-0.0029781380803268445,-0.23294156733734997,5.941252973668742E-4,7.642995062881369E-5,1.300022736780634E-4,5.500980591995138E-4
0.62,26.18805843324381-3.3617411587129683E-6i,0.0021284498576997195,-7.163377075518504E-4,0.004967982498544928,0.0020681895242844707,0.33671412830402137,5.040779227022313E-4,-0.0012216387943520834
0.62,28.300518079915225-6.562189889271939E-7i,0.018433017967169528,-0.002673484099355778,-0.00729372508165738,0.005839743375363383,-0.0013311613301568198,-1.907787782716203E-4,-4.316728962973086E-4
0.62,28.31076924985852-4.812046415223643E-7i,9.697989023410606E-4,-0.005774410211950353,-0.029135783779886414,0.01931311191845357,0.006022779692649724,6.0598179118318E-4,0.0017776904089393856
0.62,28.350246492343278-2.442093639240953E-6i,-0.023799411067628295,-0.004653665953119724,0.04442325728402685,0.23132043790201534,0.0028818486225270427,0.008351630707563378,-0.007411574054804515
0.62,28.39421709724526-7.18916702900759E-6i,-0.023973849333025862,-0.0028350890053847086,0.010842530648211916,-0.01789351504553609,-0.001218827719508273,0.2769362831483018,2.7715558138664164E-4
0.6399999999999999,22.030261669933562+4.3321020990152995E-8i,1.3588497861910092E-4,0.24956991176144241,3.169677528756468E-4,-0.0011315657670985624,6.171095104760026E-4,0.0010357738125667411,-7.169988314278453E-4
0.6399999999999999,23.06180082812788+2.5558975883439425E-8i,-0.5443860066614296,-1.5785331266120274E-4,1.4960351415801277E-4,-3.704626111560417E-4,9.513294449269013E-4,-1.364903108440708E-4,2.506129502734452E-4
0.6399999999999999,23.106565767829846+3.575337055404016E-7i,8.416778755117813E-5,2.505987174906477E-4,0.32782881634054617,4.326953541749636E-4,8.413351375553027E-4,2.382201783402985E-4,2.1286285829874566E-4
0.6399999999999999,24.522101923054738+8.565704468660541E-7i,4.414382223154339E-5,-0.16528273520465478,-1.2603386655805584E-4,-0.0040107890685421544,3.3410408021982313E-4,0.0016103777259457398,-0.0018319440461048327
0.6399999999999999,24.574586360716353+2.8292652395300084E-7i,-5.638089820409856E-4,0.0030181538174732536,-1.5332995268175687E-4,-0.3525440824284436,-5.246422930006326E-4,-0.0011310508073195094,-0.0013210337447441872
0.6399999999999999,25.650774707359837+1.457562080980403E-7i,-0.0013848314362102626,0.031640467361553334,-9.940447275213704E-5,0.007403810618272413,0.0034107420159488746,0.00309769065072102,-7.351694952006483E-5
0.6399999999999999,26.41750254668253+1.9633387650369525E-6i,-3.503474088937655E-4,6.665205406292167E-4,0.04062097989091136,-5.814715312311343E-4,-2.165515291473065E-4,4.708117547726529E-4,-2.971153076156574E-5
0.6399999999999999,26.462262789909072-9.188282811077941E-7i,-8.815897179234166E-4,-0.0021425296062835934,0.00976117572508557,5.41525947972305E-4,0.09593833430133673,0.001572452894615071,0.004762424531271511
0.6399999999999999,28.730346952942153-5.452239260309905E-7i,0.017522486120748918,-4.0696674508303133E-4,2.922540023434212E-4,0.007365090276283088,-0.0025783193255621067,0.0033012929114327625,-9.036064180784525E-4
0.6399999999999999,28.737126122101312+1.486351001639017E-7i,0.0023463195616578807,-0.0020148869862297966,0.008954234368683396,-0.002730450714086604,0.0013399605444111568,0.0017243135402073037,-4.610708241658792E-4
0.6399999999999999,28.76550882504859+2.643637253785247E-6i,-0.04106113975242515,0.010657774118073992,0.04888354443625664,0.32778612108955757,0.005742998953099759,0.03275388429757855,0.002447672043530036
0.6399999999999999,28.79374650637363-4.295651182157555E-6i,-0.003942341250483099,0.010723364880538776,0.004935209479445017,0.012272895707550809,8.787192289334718E-4,-0.11990115232226495,0.0015284506722777495
0.6599999999999999,22.080451475853113+4.279907431038564E-8i,-3.3705373700655434E-4,0.24948058957195085,-0.001177825817822956,4.2130315592237846E-4,9.66085146050891E-4,6.688110584736434E-4,0.0020414102694959004
0.6599999999999999,23.16096595408298+9.688816722209676E-7i,0.42150323535814666,-2.674877930867006E-4,1.0643920041879978E-4,-6.686464183501149E-5,5.914475013048589E-4,7.177238644789009E-5,3.311967601865081E-4
0.6599999999999999,23.208288231090606+6.750226469650947E-7i,-0.0034294595834287013,-0.0019507331312216309,-0.22004563977868571,-3.8093533924212473E-4,0.001451857628545837,0.003363617464236255,-2.2819359559436697E-4
0.6599999999999999,24.698246168480303+1.5613064376019418E-6i,4.3196095501214836E-4,0.03683926632947146,0.0016790956396507577,0.004687463277179526,-0.0017787755092850785,0.004985534489642046,-0.003723647467765731
0.6599999999999999,24.751516114877028+3.655272167139302E-6i,-0.0024815674463493182,0.006506914083735889,-9.06721977984423E-4,0.1389931495099739,0.0022713536204251243,-5.623241473805064E-4,-2.216684875992768E-4
0.6599999999999999,25.901199648717547-4.211064241901752E-7i,-0.0011678173590699613,0.03028943265989551,0.001615529623480703,0.001258371706657831,0.0024096649295457517,0.004930861239390681,-0.002012950363174185
0.6599999999999999,26.703642499483262+6.021222613405321E-7i,-7.809852205108275E-4,8.401189603224465E-4,0.2094197660003496,0.0020089081458859945,0.0017401445187243938,-0.00267039669903905,-2.9694343486058E-4
0.6599999999999999,26.746353276519297+8.673712690712013E-6i,-0.003478581096475686,-0.0012827673225462486,-0.0032982888506727396,0.0010174384056610248,0.24508830522771208,0.004104685399021375,-0.007800967811669362
0.6599999999999999,28.07353536525175+1.596275007461972E-5i,-3.9499497385882173E-4,0.24320975943425532,-0.001439020239020268,9.27337674391496E-5,9.951648652825427E-4,6.787207910037276E-4,0.002032974833062193
0.6599999999999999,29.04878146310489+5.258065237274295E-5i,0.05721116324649707,-0.0034658941368004947,-0.32949121823570426,-0.0036549041667529427,-0.02358835155540384,0.003623854016314501,-0.0021988404921850016
0.6599999999999999,29.066672842972643+1.3948659058867214E-6i,-0.6765440263967628,1.531143788990393E-4,0.0022088470865861327,6.471054158372374E-4,-0.003490971032594434,6.688981909588547E-4,-6.651881737575313E-5
0.6599999999999999,29.18420306927805-1.1705824036586417E-6i,0.0026731754113356503,-0.0035194328722868242,-0.004130951327717302,-0.05174982089530807,0.0014264973609492578,-0.0014859518296163514,-0.0017007086028439553
0.6799999999999999,22.13255197821561+2.6404783790963204E-7i,-9.449558015490407E-5,0.24824865169101892,-6.394308831005085E-6,-8.182465624499931E-4,4.650614758885743E-5,-7.232660860008812E-4,-5.4870325774119264E-5
0.6799999999999999,23.262421970794126+1.4112959614324368E-6i,0.3043757464964263,7.051002529412957E-5,-0.002739887686317534,1.0704400383355792E-4,-8.326781623289401E-4,3.903238575073261E-5,-9.44167252090248E-5
0.6799999999999999,23.31351821255969+5.541372656200426E-7i,0.0013872605807795976,-1.0920181763359728E-4,0.34999462105196233,1.3974487648163838E-4,-3.815102519894508E-4,-3.202565896818033E-5,0.009262753386612586
0.6799999999999999,24.8794729185773+2.8671922817141895E-6i,2.5382046801915076E-4,-0.329793027082176,-1.067146064547748E-4,-7.455533880736226E-4,-2.312643191829166E-5,-0.003120258894656457,3.788408994346861E-5
0.6799999999999999,24.934096649940997+5.054545328969512E-6i,-1.5664175756880186E-4,-0.006236835934009246,3.958746996246188E-4,-0.24975834834957716,1.9023364725995686E-4,-0.0050303802709904845,1.4715241213263648E-4
0.6799999999999999,26.158308044951315-9.059597028142205E-7i,0.0016157850814679513,0.03482015126291685,-7.960616595419645E-4,0.002188103159705897,-0.0016344893810786886,0.006506608122052044,-2.950698221057885E-4
0.6799999999999999,27.001943140810567+1.3978691141699518E-6i,2.3797311955277596E-4,1.667980092451841E-4,0.0024401809083908765,7.628856209726051E-5,0.005452313643804986,5.0986373934440076E-5,-2.9642566417000443E-4
0.6799999999999999,27.04133213391124+1.5205937529713393E-5i,0.019931082174715037,-9.620163475644046E-4,0.0012476814941649354,5.2435769070104274E-5,-0.3557665006874164,-2.1577526779583092E-4,2.3546779208237744E-4
0.6799999999999999,27.346305999970415+2.1572472137478452E-5i,5.794132551494664E-5,0.24846953700283403,0.0011921194925660391,-7.97636349614102E-4,3.5044505633866074E-4,-7.748409492776838E-4,-3.221879016654162E-5
0.6799999999999999,28.390011066222918+7.487213582282658E-5i,-0.012202065334497799,0.0010377111449991142,0.23380188744877367,0.00108488173374278,-0.007422928459897513,4.3692571371436263E-4,0.006399075818436642
0.6799999999999999,28.408926413310333-4.4681711919533526E-6i,-0.580809190787041,0.0013996404226420507,0.009969327249105323,6.872582190997934E-5,0.0028469867254098304,9.090503620865249E-5,6.343219726355636E-5
0.7,22.180865653683423+3.4744030697272834E-7i,-1.644451563895296E-5,0.2513243530006254,1.420603009988392E-4,-8.346885334210562E-4,2.852165162914888E-5,-7.460567417098779E-4,-4.956352756987764E-5
0.7,23.358120429383725-2.3113873566588826E-7i,-0.47252524269361573,-1.6365054955135453E-4,0.0024159491926564595,7.02087840270491E-5,0.0013957403356934114,4.174140459278686E-5,6.961277807250208E-5
0.7,23.41128655945171+2.4320635785975807E-6i,-0.005493013330117565,-6.187109855706867E-4,0.1248380248096197,-1.7996779786971567E-4,-5.099751847713234E-4,5.334890815758138E-6,0.0034057184152301023
0.7,25.05374094306638-4.935229416935224E-6i,3.182724552356906E-5,-0.3055545087535787,-4.213369823845332E-5,-0.004905207413224108,-5.9864265047271065E-5,0.0032942090416279296,1.291470837629494E-5
0.7,25.1075136383481+7.180959557659652E-6i,-3.6508919855931626E-4,-0.004881361513929261,-0.0011494420909441657,0.257154804955882,9.786681061428421E-5,0.00808118476007736,-2.794082705386292E-4
0.7,26.415129404015165+2.278032583048398E-6i,-0.003457778451659699,0.030723517221398013,-0.003452207246855796,0.0011003662323850027,-0.0020919866189048945,8.804144475366165E-4,-0.0012412171147826924
0.7,26.711311566804394+8.148750866510443E-6i,-2.3444138008075238E-5,0.2548755759485666,-7.03388696645956E-5,-7.960280110685392E-4,3.83292949024799E-4,-6.182331294035917E-4,-2.370074148403091E-5
0.7,27.288211353433947-1.2976781352626955E-5i,1.450662079404756E-4,-2.803166091450441E-4,-0.17140782365910032,-9.260400498513432E-5,-0.008653871406357955,-5.910570693430214E-4,-0.005200655231358815
0.7,27.32322726316623+1.8522932602768604E-5i,-0.01057942860254894,-0.003229660083803825,0.005989949113716582,0.002790052203381281,0.17336230220417936,0.0032008317202891273,3.9767372352338343E-4
0.7,27.816553622605728+3.8722256677704454E-5i,-0.008680743404486236,-4.8226585272481145E-4,0.005102419114651766,-6.675200784672018E-4,-0.004906790828738595,4.3255584034325906E-4,8.730874809777847E-4
0.7,27.83699351417437-4.8654027488326455E-6i,-0.6911604047546576,-1.4067725299354202E-4,0.001629644925050282,4.817732988882209E-5,0.0020145458288607417,4.938449283771953E-5,1.1086554504345937E-4
0.72,22.231056942491342+3.066294144705384E-7i,-1.8465978571223213E-5,0.24305046349313755,-7.81486331222709E-6,-7.322286209606935E-4,-3.764757292576019E-5,-7.66483315993417E-4,8.871734657700768E-6
0.72,23.45520175334827+2.4534670317311794E-6i,0.5938814626952154,8.578439542319841E-5,0.003295609580229013,1.421675401820744E-5,-0.0018609859252242855,-1.6924651923201013E-5,9.379366417629266E-5
0.72,23.514244651803036+2.7344426401912606E-7i,0.008996946892740536,-2.407494806206787E-4,0.3115619012788904,6.959443723528384E-5,-0.0013884285874272851,3.680309182417957E-5,0.00858019243757091
0.72,25.230412298199358+5.02537427777928E-6i,5.931916610466693E-4,-0.24215428371965936,-1.7025582935494804E-4,0.0021100725677949605,-6.0481958946741376E-5,0.0017199655166575815,-2.158203196393222E-5
0.72,25.29159973073404+5.658708491010843E-7i,3.3537155135520433E-4,0.0037799011407459383,-2.146426336801552E-4,-0.12803845316147244,-5.725403470982207E-4,-0.0029921210062978008,2.0790386050399285E-4
0.72,26.2036787945765+2.3784921228855282E-5i,-1.276539739535175E-4,0.2329103713204897,-6.453062239556316E-5,-5.922977589969519E-4,-3.454025295003099E-4,-5.971616881568067E-4,-4.7220525228973275E-5
0.72,26.671589415217657-5.4142800039370314E-6i,-1.189056721376495E-4,0.039102195125968804,-2.8055500895416693E-4,0.003456322561448293,-1.847419523416935E-4,0.003040338860904338,-2.3411371316294122E-5
0.72,27.38145119065083+6.807278137582104E-5i,0.07029467052042078,0.0012976430418774564,-0.2573410423872311,-0.0018378287211576962,9.576977993033155E-4,-6.844520501345844E-4,-0.005266281985931926
0.72,27.39919118372993+5.41205458570787E-6i,-0.3244110056386115,5.825634014039279E-5,0.042283705281314976,3.155030982584139E-4,-0.0032021787435268464,1.5740173806795584E-4,0.001493377443269169
0.72,27.575255916934623+5.329889041341665E-6i,-0.002397094794469123,0.0022933636710832767,-0.3408382128726684,-0.0018013515690234257,0.002802485105588149,-0.0013509629489541718,-0.01108532665117855
0.72,27.62016486730192+1.371203481101525E-6i,-0.01874902754086258,0.001018284590789973,0.00594284662096142,1.7654221363276162E-4,0.3549834682670719,8.917052709896021E-4,-9.414769933230386E-4
0.72,29.201677336222026+1.1549352979635228E-4i,-0.001944363833426763,0.06435691013003927,-2.987210219466882E-4,-0.3278567408789144,-0.0023136521595079735,-0.00839977901508958,5.619898727021323E-5
0.72,29.253338645779692+7.527828402804706E-6i,0.0018011572496518633,-0.29755945179027943,1.6800871933040935E-4,-0.03899110968025542,-0.0011321703942503009,0.08249707748560373,2.522185475642211E-4
0.74,22.280413641950272+3.8535146800253625E-7i,-5.617756572716087E-5,0.25017347686792907,1.376875496162117E-4,-7.131703973361473E-4,4.835117403391834E-6,-7.977205739132073E-4,-1.3865893543132378E-6
0.74,23.554775558926515+9.79434258952705E-7i,0.5747130288421621,2.5457885262736226E-4,-0.0022802789581622238,-1.0104194829146651E-5,-0.0017966100710551896,-2.9696132651493863E-5,-8.41230104158112E-5
0.74,23.614242249914053-6.145277191280448E-8i,0.005951940402575277,9.080975452383857E-4,-0.23439711083806156,-1.62931088991699E-4,4.1113666299735264E-4,-1.8351239306894495E-5,-0.00582188971869829
0.74,25.4180372222366-6.067851376593374E-7i,-6.236023872494906E-4,0.2416012634083082,4.996906888882671E-5,0.0013494057416233419,2.980156468826353E-5,2.77678751984927E-4,8.245749812047563E-6
0.74,25.473327142076055-1.414354454906814E-6i,5.104059249551957E-4,0.0021425524057288653,-3.0737836166038976E-4,0.20591852718339235,8.471353046392185E-4,0.006010750811812112,4.448363486420387E-4
0.74,25.726562780989717+8.846778503049174E-6i,-5.464188748064025E-4,0.2504074196336915,-1.551238396833634E-4,8.308133760481764E-4,-7.62460387759737E-5,-6.346886454243802E-4,-2.7313856198804412E-5
0.74,26.941790898411035+3.597061885409509E-7i,0.005996287800504014,0.03290007254887468,0.0029963346173929655,-9.404609553121918E-4,6.08743100935653E-4,4.2236835098307735E-4,2.2643751208287547E-4
0.74,26.969309180721357+2.9485879394496502E-5i,-0.014764379905754136,-1.5856505804658183E-4,-0.33389555757880557,-0.0022778818934472925,0.003199357882485216,2.152357333338066E-4,-0.008669309465266953
0.74,26.989775761318224+7.357621357502883E-7i,-0.6221281592019114,4.373644745398332E-4,0.006645467601395819,-4.3441521694545857E-4,0.0015750087526242174,-9.779073575744981E-5,-7.611512460960692E-5
0.74,27.897159153165937-3.7723640829293235E-6i,3.774024022595552E-4,-7.552879864350978E-4,0.01196973403324705,-7.708088432132037E-5,0.0018915642831265661,-0.0010742168362387911,6.709273600024662E-5
0.74,27.927149790230164-4.519611618767375E-6i,-0.013051498086512197,-8.730766864848897E-4,-0.0046876293784114485,-0.0022001883796137676,0.34000528713478795,0.0010674830147239644,9.472198985387295E-4
0.74,28.879794107302292+8.384411975352894E-5i,0.003272609725361457,0.03656305100102995,-7.860918265718995E-4,0.1644208093771496,-0.001557320316241817,0.0010902830658403027,7.303150006078897E-4
